Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
CNBX,CANNIBICS PHARMACEUTICALS,OTCQB,0.980000,51.194200,113530,Common Stock,USA,Maryland
IPIX,INNOVATION PHARMACEUTICAL,OTCQB,0.960000,112.893800,150103,Common Stock,USA,Massachusetts
IGXT,INTELGENX TECHS CORP,OTCQX U.S.,0.952500,400.024700,173510,Common Stock,Canada,Quebec
KWFLF,CANNABIS WHEATON INCOME,OTC Pink Current,0.838000,309.110400,225676,Foreign Ordinary Shares,Canada,British Columbia
ZPAS,ZOOMPASS HOLDINGS INC,OTC Pink Current,0.830000,56.607200,176663,Common Stock,Canada,Ontario
SBMFF,SINO BIOPHARM ORD,OTC Pink Current,0.788000,137.203000,190000,Foreign Ordinary Shares,Hong Kong,
NSFC,NORTHERN STS FINCL CORP,OTC Pink Current,0.770000,72.124300,220719,Common Stock,USA,Illinois
MRLB,MIRAMAR LABS INC,OTCQB,0.720000,145.195100,278250,Common Stock,USA,California
ADAD,ADAIAH DISTR INC,OTC Pink Current,0.610000,95.132100,125620,Common Stock,Latvia,
OWCP,OWC PHARMS RESEARCH CORP,OTCQB,0.609300,51.678400,322717,Common Stock,Israel,
ARTH,ARCH THERAPEUTICS INC,OTCQB,0.600000,103.603400,271648,Common Stock,USA,Massachusetts
SPHRF,STARPHARMA HOLDINGS LTD,OTCQX International,0.590000,516.612500,184600,Foreign Ordinary Shares,Australia,Victoria
SCTFF,US COBALT INC ORD,OTCQB,0.565000,102.237800,230245,Foreign Ordinary Shares,Canada,British Columbia
MDRPF,MIDAS GOLD CORP ORD,OTCQX International,0.561500,73.212400,101549,Foreign Ordinary Shares,Canada,British Columbia
CTEQF,CLEAN TEQ HLDGS LTD MEL,OTCQX International,0.540000,109.263600,751858,Foreign Ordinary Shares,Australia,Victoria
MSRT,MASSROOTS INC,OTCQB,0.532100,90.111300,260084,Common Stock,USA,Colorado
FFMGF,FIRST MINING FINANCE CORP,OTCQX International,0.510000,109.722500,273724,Foreign Ordinary Shares,Canada,British Columbia
SPYR,SPYR INC,OTCQB,0.510000,83.922400,117439,Common Stock,USA,Colorado
FENX,FENIX PARTS INC,OTC Pink No Information,0.510000,900.000000,419511,Common Stock,USA,Illinois
FCUUF,FISSION URANIUM CORP ORD,OTCQX International,0.450000,42.934500,112994,Foreign Ordinary Shares,Canada,British Columbia
CLSH,CLS HOLDINGS USA INC,OTCQB,0.450000,186.495800,279601,Common Stock,USA,Colorado
LNGLF,LIQUEFIED NATURAL GAS LTD,OTC Pink Current,0.438000,77.673200,129721,Foreign Ordinary Shares,Australia,Western Australia
TMPS,TEMPUS APP SOL HLDG INC,OTCQB,0.420000,691.564900,562840,Common Stock,USA,Virginia
BITCF,FIRST BITCOIN CAPITAL ORD,OTC Pink Current,0.420000,59.270500,189164,Common Stock,Canada,British Columbia
PTGEF,PORTAGE BIOTECH INC ORD,OTC Pink Current,0.410000,137.552300,139543,Foreign Ordinary Shares,Canada,Ontario
